year,stco_code,totalpopulation,Crude prevalence,Age-adjusted prevalence
2018,48119,5349,16,14.4
2018,48121,859064,10,10
2018,48123,20187,15.7,14.2
2018,48125,2249,16,14.7
2018,48127,10308,18.6,17.8
2018,48129,3319,14.4,13.3
2018,48131,11212,17.6,16.9
2018,48133,18322,16.4,14.9
2018,48135,162124,12.8,13.3
2018,48137,1928,16.6,14.2
2018,48139,179436,12,11.6
2018,48141,840758,13.7,13.9
2018,48143,42446,12.7,13.4
2018,48145,17335,17.1,16.1
2018,48147,35286,14.7,13.6
2018,48149,25349,15.3,13.3
2018,48151,3839,14.8,13
2018,48153,5837,16.4,15.3
2018,48155,1200,16,13.8
2018,48157,787858,9.8,9.5
2018,48159,10766,13.4,11.9
2018,48161,19808,16.2,14.7
2018,48163,19816,14.7,15.7
2018,48165,20901,15.2,15.5
2018,48167,337890,12.4,11.8
2018,48169,6578,14.4,15.3
2018,48171,26804,13.6,11.5
2018,48173,1388,14.1,13.4
2018,48175,7584,14.8,13
2018,48177,20826,16,15
2018,48179,21895,15.7,14.8
2018,48181,133991,14.1,13.1
2018,48183,123707,14.9,14.3
2018,48185,28360,16.4,15.2
2018,48187,163694,12.1,11.7
2018,48189,33830,14.7,14.6
2018,48191,3028,20.4,18.3
2018,48193,8484,16.3,14.3
2018,48195,5463,16.3,15.6
2018,48197,3922,16.3,14.6
2018,48199,57207,14.1,13.1
2018,48201,4698619,12.6,12.7
2018,48203,66726,14.9,13.9
2018,48205,5619,12.1,11.5
2018,48207,5813,17.1,15.9
2018,48209,222631,10.7,11.4
2018,48211,3825,14.5,13.6
2018,48213,82299,16.1,14.4
2018,48215,865939,16.4,16.8
2018,48217,36354,15.4,14
2018,48219,22980,14.5,14.2
2018,48221,60537,13.7,11.9
2018,48223,36810,15.4,14.2
2018,48225,23169,18.4,16.5
2018,48227,36459,14.5,14.2
2018,48229,4795,17.7,18.1
2018,48231,96493,14.8,14
2018,48233,21198,14.5,13.6
2018,48235,1522,13.6,12
2018,48237,8843,15.2,14.4
2018,48239,14874,13.9,12.9
2018,48241,35872,16.3,14.8
2018,48243,2252,14.5,11.7
2018,48245,255001,14.1,13.7
2018,48247,5248,17.1,16.2
2018,48249,40822,15.7,15.2
2018,48251,171361,13.4,12.8
2018,48253,19817,14.8,14.5
2018,48255,15650,14.3,14.4
2018,48257,128622,13.1,12.8
2018,48259,45641,11.1,9.9
2018,48261,442,20.2,19.1
2018,48263,726,14.2,12
2018,48265,52405,14.4,12.6
2018,48267,4362,16.5,14
2018,48269,277,13.3,11.8
2018,48271,3767,18.1,16.7
2018,48273,31129,12.9,14.1
2018,48275,3653,15.6,14.1
2018,48277,49728,15.9,14.7
2018,48279,13158,17.4,16.3
2018,48281,21229,14.2,12.7
2018,48283,7531,13.4,14.5
2018,48285,20110,14.5,12.9
2018,48287,17144,15.1,13.7
2018,48289,17270,16.6,14.5
2018,48291,86323,15.3,14.9
2018,48293,23519,16.6,15.3
2018,48295,3355,14.4,13.2
2018,48297,12166,15.4,14.2
2018,48299,21646,15.7,12.8
2018,48301,152,13.2,12.7
2018,48303,307412,12.4,13.1
2018,48305,5877,16.6,15.4
2018,48307,7987,15.6,14
2018,48309,254607,13.8,13.9
2018,48311,749,13.2,11.7
2018,48313,14422,14,14.1
2018,48315,9928,18,15.4
2018,48317,5753,13.6,13.3
2018,48319,4280,15.3,13.1
2018,48321,36552,15.8,14.7
2018,48323,58485,17,17.4
2018,48325,50921,13.2,12.4
2018,48327,2139,15.3,12.7
2018,48329,172578,11.1,11.4
2018,48331,25131,16.2,14.6
2018,48333,4921,16.4,14
2018,48335,8145,13.8,13.8
2018,48337,19596,15.4,13.8
2018,48339,590925,11.6,11.1
2018,48341,21485,14.6,14.6
2018,48343,12339,15.5,13.9
2018,48345,1234,15.6,13.4
2018,48347,65711,14.2,14.7
2018,48349,49565,15.9,14.8
2018,48351,13746,17.1,15.5
2018,48353,14751,15.4,14.3
2018,48355,362265,13.4,13.1
2018,48357,9947,14.3,14
2018,48359,2131,13.8,12.8
2018,48361,83572,14.2,13.3
2018,48363,28875,15.7,14.3
2018,48365,23148,15.6,14.3
2018,48367,138371,12.3,11.4
2018,48369,9864,15.5,14.9
2018,48371,15673,14.5,14.2
2018,48373,50031,16.3,14.7
2018,48375,119648,15.4,15.2
2018,48377,6948,21.6,19.9
2018,48379,12159,15.6,13.5
2018,48381,136271,11.2,10.9
2018,48383,3741,13.8,13.6
2018,48385,3478,18.3,15.4
2018,48387,12175,17.4,15.2
2018,48389,15695,13.4,14.1
2018,48391,7032,15.9,14.2
2018,48393,903,13.5,12.1
2018,48395,17284,14.9,13.7
2018,48397,100657,10.5,10
2018,48399,10234,15.5,14.1
2018,48401,54450,14.8,14.1
2018,48403,10589,18.4,15.6
2018,48405,8232,18.5,15.9
2018,48407,28719,17.2,15.2
2018,48409,66893,14.4,13.8
2018,48411,6054,16.2,15
2018,48413,2895,13.5,12.5
2018,48415,16866,14.9,14.3
2018,48417,3253,15,13.3
2018,48419,25418,17.6,16.3
2018,48421,3079,13.9,13
2018,48423,230221,13.9,13.3
2018,48425,9016,15.2,13.8
2018,48427,64525,19.5,20
2018,48429,9433,16.3,15.1
2018,48431,1311,13.9,13
2018,48433,1362,15.7,13.4
2018,48435,3758,13,11.8
2018,48437,7462,17.3,16.6
2018,48439,2084931,12.9,12.9
2018,48441,137640,12.6,12.9
2018,48443,823,16.9,14.7
2018,48445,12287,16.7,16.1
2018,48447,1515,15.5,13.1
2018,48449,33033,15.7,15.2
2018,48451,118189,12.8,12.7
2018,48453,1248743,10.1,10.5
2018,48455,14740,17.6,15.2
2018,48457,21696,15.4,14.1
2018,48459,41260,14.9,13.5
2018,48461,3671,15.1,14.4
2018,48463,26846,15.7,15.2
2018,48465,49208,15.1,15.2
2018,48467,56019,15.2,13.7
2018,48469,92035,14,13.4
2018,48471,72480,13.5,14.2
2018,48473,53126,13.1,13.8
2018,48475,11720,14.5,14.1
2018,48477,35108,14.4,13.1
2018,48479,275910,16,16.6
2018,48481,41619,15.6,14.6
2018,48483,5191,15.7,14.2
2018,48485,132064,13.9,14
2018,48487,12820,16.7,15.6
2018,48489,21515,17.7,18.3
2018,48491,566719,9.8,9.6
2018,48493,50224,13,12
2018,48495,7720,15.1,14.9
2018,48497,68305,14,13
2018,48499,45129,15.7,13.6
2018,48501,8591,13.5,13.3
2018,48503,18045,15.3,13.8
2018,48505,14190,19.4,19.4
2018,48507,11983,19.4,19.5
2018,49001,6580,12.8,12.2
2018,49003,54950,12.7,12.4
2018,49005,127068,10.1,11.5
2018,49007,20269,14,13.2
2018,49009,980,12.5,10.7
2018,49011,351713,9.9,10.2
2018,49013,19964,13.1,12.9
2018,49015,10014,14,12.9
2018,49017,5080,14.5,13
2018,49019,9764,12.8,11.7
2018,49021,52775,13.1,13.6
2018,49023,11555,12.4,12.4
2018,49025,7709,13.2,11.7
2018,49027,13006,13.4,12.5
2018,49029,12045,9.7,9.4
2018,49031,1445,16.4,14
2018,49033,2464,12.7,11.8
2018,49035,1152633,11.2,11.4
2018,49037,15449,19.2,18.6
2018,49039,30623,12.7,13
2018,49041,21539,14,13.3
2018,49043,41933,9.4,8.8
2018,49045,69907,11.8,12
2018,49047,35438,14,14
2018,49049,622213,9.2,10.6
2018,49051,33240,9.9,9.6
2018,49053,171700,12.8,11.9
2018,49055,2690,12.9,11.5
2018,49057,256359,11.6,11.7
2018,50001,36973,11.2,10.5
2018,50003,35631,13,11.5
2018,50005,30302,13.2,11.9
2018,50007,164572,10.5,10.5
2018,50009,6250,16.4,13.9
2018,50011,49421,12.4,11.4
2018,50013,7090,12.4,10.8
2018,50015,25300,12.6,11.7
2018,50017,28999,13.6,12.1
2018,50019,26907,14.5,12.8
2018,50021,58672,13.8,12.3
2018,50023,58140,12,10.9
2018,50025,42756,13.7,12.1
2018,50027,55286,12.7,11.1
2018,51001,32412,16.9,14.8
