cbsa_code,cbsa_name,naics2_code,naics2_name,year,cbsa_jobdensity
17460,"Cleveland, OH",55,Headquarters,2004,15261.5537109375
17460,"Cleveland, OH",61,Education,2004,24235.33984375
17460,"Cleveland, OH",62,Health Care,2004,13897.904296875
17460,"Cleveland, OH",71,Arts/Entertainment,2004,12498.703125
17460,"Cleveland, OH",72,Hospitality,2004,6054.5810546875
17460,"Cleveland, OH",81,Local Services,2004,6062.4130859375
17820,"Colorado Springs, CO",00,Total,2004,3364.40795898438
17820,"Colorado Springs, CO",11,Agriculture,2004,763.94287109375
17820,"Colorado Springs, CO",21,Mining,2004,439.074096679688
17820,"Colorado Springs, CO",22,Utilities,2004,9245.890625
17820,"Colorado Springs, CO",23,Construction,2004,2036.74182128906
17820,"Colorado Springs, CO",31,Manufacturing,2004,2737.26708984375
17820,"Colorado Springs, CO",42,Wholesale,2004,2167.16235351562
17820,"Colorado Springs, CO",44,Retail,2004,3867.17163085938
17820,"Colorado Springs, CO",48,Logistics,2004,1902.03662109375
17820,"Colorado Springs, CO",51,Information,2004,3526.09497070312
17820,"Colorado Springs, CO",52,Finance,2004,5386.189453125
17820,"Colorado Springs, CO",53,Real Estate,2004,2743.31225585938
17820,"Colorado Springs, CO",54,Professional,2004,3280.12622070312
17820,"Colorado Springs, CO",55,Headquarters,2004,2552.48974609375
17820,"Colorado Springs, CO",61,Education,2004,2212.25366210938
17820,"Colorado Springs, CO",62,Health Care,2004,3722.82958984375
17820,"Colorado Springs, CO",71,Arts/Entertainment,2004,2387.91772460938
17820,"Colorado Springs, CO",72,Hospitality,2004,3311.74145507812
17820,"Colorado Springs, CO",81,Local Services,2004,4064.06884765625
17900,"Columbia, SC",00,Total,2004,4668.6962890625
17900,"Columbia, SC",11,Agriculture,2004,353.429626464844
17900,"Columbia, SC",21,Mining,2004,2277.49731445312
17900,"Columbia, SC",22,Utilities,2004,19313.5546875
17900,"Columbia, SC",23,Construction,2004,2381.3369140625
17900,"Columbia, SC",31,Manufacturing,2004,845.746032714844
17900,"Columbia, SC",42,Wholesale,2004,2532.79223632812
17900,"Columbia, SC",44,Retail,2004,2382.671875
17900,"Columbia, SC",48,Logistics,2004,1632.16198730469
17900,"Columbia, SC",51,Information,2004,2990.49731445312
17900,"Columbia, SC",52,Finance,2004,9024.6884765625
17900,"Columbia, SC",53,Real Estate,2004,6188.255859375
17900,"Columbia, SC",54,Professional,2004,10419.076171875
17900,"Columbia, SC",55,Headquarters,2004,3450.24609375
17900,"Columbia, SC",61,Education,2004,3577.62060546875
17900,"Columbia, SC",62,Health Care,2004,7865.75244140625
