cbsa,cbsaname,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
33460,"Minneapolis, MN-WI",23,Construction,actual job density,2818.143798828125,3869.120849609375,4056.23779296875,4765.82568359375,4879.697265625,4045.564697265625,3845.97119140625,4069.1640625,4376.5634765625,4485.07177734375,4659.38134765625,4709.369140625,33460
33460,"Minneapolis, MN-WI",31,Manufacturing,actual job density,4571.5654296875,4519.98681640625,4255.998046875,3975.1083984375,4038.94287109375,3940.138916015625,3706.4951171875,3817.4912109375,3722.66796875,3708.57763671875,3660.563720703125,3636.302001953125,33460
33460,"Minneapolis, MN-WI",42,Wholesale,actual job density,10787.4443359375,8584.1572265625,8214.8447265625,9313.845703125,7290.58642578125,6745.5654296875,6208.466796875,6571.89013671875,7235.90234375,7103.74609375,6098.58984375,7573.32470703125,33460
33460,"Minneapolis, MN-WI",44,Retail,actual job density,11643.4892578125,8701.796875,7950.3203125,8346.431640625,10382.35546875,7084.78369140625,8560.546875,8172.73828125,6862.82470703125,6650.9267578125,6871.3701171875,5978.74169921875,33460
33460,"Minneapolis, MN-WI",48,Logistics,actual job density,3689.6787109375,3572.29443359375,3633.931396484375,3961.448974609375,47802.3515625,4276.2119140625,4210.51220703125,3809.411865234375,3526.52294921875,3147.455810546875,3135.57373046875,3443.861328125,33460
33460,"Minneapolis, MN-WI",51,Information,actual job density,32755.90625,36167.30078125,23838.138671875,24390.125,33731.12109375,37623.46875,36123.63671875,34148.19140625,39191.95703125,39528.72265625,36890.67578125,29192.05859375,33460
33460,"Minneapolis, MN-WI",52,Finance,actual job density,47365.890625,39349.2890625,41837.93359375,48462.53125,53658.46875,47813.421875,41291.45703125,38703.19140625,41259.75,42959.48828125,43669.28125,43863.5625,33460
33460,"Minneapolis, MN-WI",53,Real Estate,actual job density,20346,71378.9921875,15657.296875,38123.28125,43620.50390625,37504.28515625,27717.89453125,33921.8046875,43086.42578125,43770.9609375,41307.01171875,27739.775390625,33460
33460,"Minneapolis, MN-WI",54,Professional,actual job density,34889.96875,34154.61328125,34920.30859375,38405.90234375,44264.28125,42835.84765625,39895.87890625,37839.95703125,43735.078125,45172.3984375,41123.1171875,42365.078125,33460
33460,"Minneapolis, MN-WI",55,Headquarters,actual job density,22161.728515625,27930.7734375,37843.69140625,40827.32421875,35650.96484375,33663.8359375,35024.7109375,17655.869140625,54832.13671875,64510.39453125,35743.66796875,51295.1171875,33460
33460,"Minneapolis, MN-WI",61,Education,actual job density,12102.986328125,11638.537109375,13720.685546875,14736.09375,15403.392578125,13509.345703125,14898.224609375,14380.3271484375,14131.5498046875,14443.689453125,14219.2177734375,12812.3740234375,33460
33460,"Minneapolis, MN-WI",62,Health Care,actual job density,11849.6162109375,12278.2041015625,9630.8740234375,12092.4755859375,11807.853515625,11295.9755859375,10723.9443359375,10729.5849609375,11161.7978515625,11901,12098.2373046875,12037.3056640625,33460
