cbsa,cbsaname,stco_code,county,type,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
19780,"Des Moines, IA",19181,"Warren County, Iowa",EX,00,Total,actual job density,835.739990234375,731.7540283203125,781.5367431640625,820.43914794921875,804.06512451171875,811.50323486328125,757.62115478515625,853.4718017578125,592.50042724609375,576.53955078125,572.9405517578125,618.5126953125,19780
19820,"Detroit, MI",00000,Metro Total,TOTAL,00,Total,actual job density,7896.87890625,7718.09619140625,8130.11181640625,7730.1982421875,8284.0009765625,8280.7353515625,7692.833984375,7357.248046875,6906.4443359375,7492.94970703125,7421.27294921875,8070.953125,19820
19820,"Detroit, MI",26087,"Lapeer County, Michigan",EX,00,Total,actual job density,1081.3250732421875,1046.0775146484375,1015.1106567382812,705.74560546875,662.5909423828125,847.8638916015625,912.7330322265625,1140.648193359375,950.8597412109375,902.3409423828125,924.98345947265625,881.75927734375,19820
19820,"Detroit, MI",26093,"Livingston County, Michigan",ES,00,Total,actual job density,1887.805419921875,2128.220458984375,2274.721435546875,2164.580810546875,2237.5224609375,2026.045654296875,1910.567626953125,1681.79296875,906.6585693359375,908.5135498046875,942.49456787109375,969.64483642578125,19820
19820,"Detroit, MI",26099,"Macomb County, Michigan",UC,00,Total,actual job density,4635.42919921875,4261.1728515625,4271.27978515625,3623.112548828125,3650.878662109375,3604.615966796875,4071.109130859375,3437.78955078125,3214.62646484375,3301.541259765625,3327.41357421875,3684.928955078125,19820
19820,"Detroit, MI",26125,"Oakland County, Michigan",MS,00,Total,actual job density,6254.7001953125,5946.6259765625,6377.63037109375,6110.69677734375,6201.384765625,6109.0458984375,5540.83740234375,5458.08837890625,5344.373046875,5531.4404296875,5637.4521484375,5601.89501953125,19820
19820,"Detroit, MI",26147,"St. Clair County, Michigan",ES,00,Total,actual job density,2550.770751953125,2635.563720703125,2930.564208984375,2886.24365234375,2641.9609375,2663.462646484375,2363.049072265625,2422.442138671875,2304.935791015625,2253.97509765625,1990.49609375,1739.95947265625,19820
19820,"Detroit, MI",26163,"Wayne County, Michigan",UC,00,Total,actual job density,11837.578125,11886.765625,12594.13671875,11966.4375,13293.716796875,13342.4365234375,12226.611328125,11802.970703125,11050.267578125,12375.310546875,12160.8671875,13726.5732421875,19820
21340,"El Paso, TX",00000,Metro Total,TOTAL,00,Total,actual job density,4381.873046875,4447.703125,4610.53271484375,4632.064453125,4485.62744140625,4670.9208984375,4682.9267578125,3918.531982421875,3974.6767578125,4078.94287109375,4271.5009765625,3805.796142578125,21340
21340,"El Paso, TX",48141,"El Paso County, Texas",MS,00,Total,actual job density,4386.73486328125,4451.978515625,4615.8720703125,4637.50927734375,4491.798828125,4677.35498046875,4689.60791015625,3925.018310546875,3981.271728515625,4085.558349609375,4277.7119140625,3812.544921875,21340
21340,"El Paso, TX",48229,"Hudspeth County, Texas",EX,00,Total,actual job density,0.07659908384084702,0.06643147021532059,0.06462723761796951,0.08844804763793945,0.11587458103895187,0.10844597965478897,0.11249025166034698,0.08745769411325455,0.35949018597602844,0.4170148968696594,0.5836898684501648,0.45426660776138306,21340
23420,"Fresno, CA",00000,Metro Total,TOTAL,00,Total,actual job density,3349.81640625,3430.37841796875,3427.716796875,3346.60791015625,3384.767333984375,3289.744873046875,3326.43310546875,3200.482177734375,3597.97021484375,3797.3759765625,4192.45068359375,4526.615234375,23420
23420,"Fresno, CA",06019,"Fresno County, California",ES,00,Total,actual job density,3349.81640625,3430.37841796875,3427.716796875,3346.60791015625,3384.767333984375,3289.744873046875,3326.43310546875,3200.482177734375,3597.97021484375,3797.3759765625,4192.45068359375,4526.615234375,23420
24340,"Grand Rapids, MI",00000,Metro Total,TOTAL,00,Total,actual job density,9959.642578125,9138.3759765625,9705.349609375,9040.95703125,9924.3466796875,9316.96875,8957.3154296875,8160.37255859375,6098.6494140625,6988.55126953125,7514.55810546875,7179.94775390625,24340
24340,"Grand Rapids, MI",26067,"Ionia County, Michigan",EX,00,Total,actual job density,2190.76318359375,1891.614013671875,2144.303466796875,1813.2052001953125,1894.948974609375,704.51507568359375,1757.5657958984375,2250.130126953125,442.6243896484375,573.4951171875,648.2464599609375,639.9620361328125,24340
24340,"Grand Rapids, MI",26081,"Kent County, Michigan",ES,00,Total,actual job density,13128.6435546875,11876.8427734375,12720.1484375,11846.3837890625,13016.9755859375,12214.748046875,11687.8798828125,10586.4921875,7812.95068359375,9053.4677734375,9710.35546875,9274.7861328125,24340
24340,"Grand Rapids, MI",26117,"Montcalm County, Michigan",EX,00,Total,actual job density,385.0237731933594,351.8736267089844,315.50299072265625,387.0693054199219,300.7225341796875,382.91571044921875,890.0347900390625,906.8988037109375,301.62078857421875,336.12213134765625,321.4751281738281,316.6050109863281,24340
24340,"Grand Rapids, MI",26139,"Ottawa County, Michigan",ES,00,Total,actual job density,2524.21484375,2469.962158203125,2460.8232421875,2022.0484619140625,1998.15625,1724.9864501953125,2022.8548583984375,1964.2283935546875,1976.2646484375,1918.7822265625,1998.4940185546875,2031.1287841796875,24340
24660,"Greensboro, NC",00000,Metro Total,TOTAL,00,Total,actual job density,2427.853759765625,2626.0361328125,2677.290283203125,2635.18896484375,2592.461181640625,2452.844482421875,2509.790771484375,2410.685791015625,2385.287841796875,2403.873046875,2364.299072265625,2434.71142578125,24660
24660,"Greensboro, NC",37081,"Guilford County, North Carolina",ES,00,Total,actual job density,2921.991455078125,3149.214111328125,3207.43212890625,3168.007080078125,3052.543701171875,2881.217041015625,2936.03564453125,2832.241943359375,2856.932373046875,2876.57470703125,2823.545654296875,2921.189697265625,24660
24660,"Greensboro, NC",37151,"Randolph County, North Carolina",EX,00,Total,actual job density,825.3304443359375,868.2344970703125,917.55059814453125,685.0865478515625,1071.616943359375,901.70684814453125,986.4302978515625,906.8621826171875,703.539306640625,711.4239501953125,717.3580322265625,680.16632080078125,24660
24660,"Greensboro, NC",37157,"Rockingham County, North Carolina",EX,00,Total,actual job density,532.6409912109375,558.63360595703125,546.9832763671875,548.51898193359375,521.63641357421875,656.71612548828125,395.28863525390625,330.6880798339844,389.98248291015625,393.03564453125,372.0953674316406,373.5901184082031,24660
24860,"Greenville, SC",00000,Metro Total,TOTAL,00,Total,actual job density,1931.4031982421875,2196.52099609375,2069.71875,2180.9130859375,2125.10693359375,2078.735595703125,1875.1318359375,2036.9444580078125,2102.73095703125,2252.0400390625,2297.130126953125,2391.1875,24860
24860,"Greenville, SC",45007,"Anderson County, South Carolina",ES,00,Total,actual job density,941.7685546875,941.82855224609375,965.0291748046875,973.50286865234375,972.0657958984375,846.42010498046875,808.50994873046875,761.1666259765625,597.200927734375,680.1849365234375,647.37310791015625,630.3250732421875,24860
24860,"Greenville, SC",45045,"Greenville County, South Carolina",MS,00,Total,actual job density,2488.364501953125,2845.8330078125,2672.897216796875,2814.572509765625,2716.690185546875,2675.9189453125,2419.018798828125,2675.490966796875,2802.349609375,3002.64013671875,3080.392822265625,3202.836669921875,24860
24860,"Greenville, SC",45059,"Laurens County, South Carolina",EX,00,Total,actual job density,594.98309326171875,547.19342041015625,579.2548828125,508.7124328613281,499.5878601074219,454.49932861328125,359.99078369140625,371.3114318847656,247.78512573242187,244.0391845703125,325.3970947265625,322.9394226074219,24860
24860,"Greenville, SC",45077,"Pickens County, South Carolina",ES,00,Total,actual job density,767.11212158203125,804.36334228515625,714.99615478515625,788.4124755859375,815.77154541015625,815.89068603515625,680.230712890625,649.77777099609375,697.81671142578125,688.54608154296875,649.89215087890625,671.53472900390625,24860
