"","rank_year_range","cbsa_code","count","prosperity_rank","growth_rank","inclusion_rank","racial_inclusion_rank","value_year","average_annual_wage","output_per_job","output_per_person","employment_at_firms_0_5_years_old","jobs","real_gdp","employment_to_population_ratio","median_income","relative_income_poverty","gap_in_employment_to_population_ratio","gap_in_median_income","gap_in_relative_income_poverty"
"1","2007-2017","10420",3,"44","78","89","35","2017",46101.8900159511,106451.226403224,50684.8692907776,27089,334961.467098031,35657058970.4085,0.7478428,31036.11,0.2835385,0.0957737,10365.46,0.1104397
"2","2007-2017","10580",3,"4","29","49","69","2017",53671.1132742332,136536.752956144,70669.3245098835,30575,458677.28646572,62626307348.7647,0.7404639,38976.86,0.2725071,0.1635771,12750.04,0.0965262
"3","2007-2017","10740",3,"84","85","67","42","2017",44505.4006523688,107619.345060463,46323.8623776084,33392,392014.519917467,42188345887.7098,0.6944837,30124.38,0.2536528,0.0014018,8849.066,0.038288
"4","2007-2017","10900",3,"36","36","85","53","2017",49228.129908721,118010.738491653,51456.2515086205,26936,366505.22451082,43251552205.5709,0.740391,35179.64,0.27369,0.0860617,11097.54,0.1106475
"5","2007-2017","12060",3,"58","33","64","57","2017",57690.355413422,138093.515260689,62563.8902011005,259336,2666106.19819069,368171976966.463,0.7434431,36005.05,0.2517715,0.0349653,15415.73,0.0604382
"6","2007-2017","12260",3,"23","65","99","72","2017",46163.5407115574,110180.907948794,44988.3491712199,15250,245049.73907099,26999802743.4568,0.6711519,26087.29,0.2618838,0.1032298,7172.486,0.0554599
"7","2007-2017","12420",3,"9","1","4","49","2017",58746.7727368283,132542.051673014,63756.8632804675,132354,1017778.81858145,134898492764.122,0.7681109,39978.28,0.2494142,0.0229335,16895.41,0.0677072
"8","2007-2017","12540",3,"87","46","77","10","2017",45030.5285434265,116068.426480475,42472.7663151437,39436,326817.85847244,37933234578.6148,0.6060863,27028.23,0.2618284,0.0029218,15952.81,0.0184163
"9","2007-2017","12580",3,"18","47","54","89","2017",58721.4541800801,137063.095169202,69657.8566250496,109946,1427163.53579036,195611451528.049,0.7512255,45406.8,0.2836629,0.071009,16237.95,0.096326
"10","2007-2017","12940",3,"26","34","72","77","2017",49759.3090967802,126885.787849413,61391.5711629272,40005,403593.9129012,51210331609.6962,0.6973029,32599.56,0.2869024,0.0949573,16149.07,0.1189867
