cbsa_code,rank_year_range,count,prosperity_rank,growth_rank,inclusion_rank,racial_inclusion_rank,value_year,average_annual_wage,output_per_job,output_per_person,employment_at_firms_0_5_years_old,jobs,real_gdp,employment_to_population_ratio,median_income,relative_income_poverty,gap_in_employment_to_population_ratio,gap_in_median_income,gap_in_relative_income_poverty
41780,NA,NA,NA,NA,NA,NA,2017,38422.6516392292,97708.1811251497,50469.4366617125,NA,38645.401022079,3775971842.71934,NA,NA,NA,NA,NA,NA
41820,NA,NA,NA,NA,NA,NA,2017,39223.3409666583,100324.495837585,44637.9811372205,NA,26887.483237286,2697473200.12223,NA,NA,NA,NA,NA,NA
42020,NA,NA,NA,NA,NA,NA,2017,44636.4714072133,123302.333888958,53769.3150525368,14110,123586.40953372,15238492732.4642,0.6701459,30058.08,0.2961514,0.0443834,6058.439,0.0046228
42100,NA,NA,NA,NA,NA,NA,2017,48351.4876778159,122867.143482106,48277.8679399373,11911,108407.49246331,13319718931.0249,0.7023194,29514.13,0.3303854,0.0544216,17144.38,0.071571
42140,NA,NA,NA,NA,NA,NA,2017,42649.3479811847,110308.149706537,46682.5954481379,6681,62951.251483996,6944036072.91052,0.7078899,31878.42,0.2247769,0.012238,6701.127,4.37e-5
42200,NA,NA,NA,NA,NA,NA,2017,51640.7558605415,128792.190325762,59691.7597291268,23334,207705.62294923,26750862122.6082,0.726677,29424,0.2685555,0.065644,17560.42,0.0017301
42220,NA,NA,NA,NA,NA,NA,2017,51808.6824227982,134106.124219185,56163.1275457041,27225,211164.13472235,28318403681.7123,0.7554331,36473.66,0.2720216,0.0210926,15305.92,0.0700714
42300,NA,NA,NA,NA,NA,NA,2017,37068.6923984609,83682.6078063824,29128.9156700186,NA,13126.7484083866,1098480538.83207,NA,NA,NA,NA,NA,NA
42340,NA,NA,NA,NA,NA,NA,2017,44930.9813686393,108418.180245986,50631.34603977,18198,180982.780690206,19621823738.2906,0.7084525,30012.21,0.2727371,0.0380319,16311.91,0.1184637
42380,NA,NA,NA,NA,NA,NA,2017,45312.3741388657,118426.278736538,45803.0007945571,NA,23535.739171134,2787250007.35118,NA,NA,NA,NA,NA,NA
42420,NA,NA,NA,NA,NA,NA,2017,38831.0450917832,102667.085613472,49264.9585106409,NA,18382.1525598851,1887242030.62563,NA,NA,NA,NA,NA,NA
42460,NA,NA,NA,NA,NA,NA,2017,35219.0173594745,90836.7551634485,28620.3391406105,NA,16355.1987494128,1485653184.44995,NA,NA,NA,NA,NA,NA
42620,NA,NA,NA,NA,NA,NA,2017,34868.9089183468,87872.0164885084,28961.3859163944,NA,26042.566917411,2288412869.56982,NA,NA,NA,NA,NA,NA
42680,NA,NA,NA,NA,NA,NA,2017,41354.3635425522,130738.452295711,44587.3156550912,6791,52651.101737157,6883523552.77994,0.6461529,27437.61,0.2236593,0.0856143,8158.375,0.0659605
