"","cbsa_code","cbsa_name","cbsa_type","cbsa_pop","cbsa_emp","cbsa_is.top100","cbsa_size","total","male","black","black_male","hispanic","asian","nonminority","male_nonminority"
"211","11260","Anchorage, AK","metro",399576,162723,FALSE,"midsized metros",7499,4233,110,60,240,544,6179,3601
"212","11460","Ann Arbor, MI","metro",365961,152087,FALSE,"midsized metros",6363,4217,136,68,116,511,5536,3784
"213","11500","Anniston-Oxford, AL","metro",115098,36301,FALSE,"small metros",1386,1080,0,0,0,100,1215,957
"214","11540","Appleton, WI","metro",234561,115721,FALSE,"small metros",4306,2898,0,0,0,91,4123,2790
"215","11700","Asheville, NC","metro",449937,172341,FALSE,"midsized metros",9570,5722,0,0,305,296,8754,5273
"216","12020","Athens-Clarke County, GA","metro",205303,65041,FALSE,"small metros",3501,2451,0,0,0,306,3029,2163
"217","12060","Atlanta-Sandy Springs-Alpharetta, GA","metro",5779463,2352106,TRUE,"very large metros",102913,66678,6795,3633,4020,14629,76153,51166
"218","12100","Atlantic City-Hammonton, NJ","metro",268539,103653,FALSE,"midsized metros",4791,3134,133,0,299,545,3781,2571
"219","12220","Auburn-Opelika, AL","metro",159287,46327,FALSE,"small metros",1900,1279,37,31,0,142,1649,1136
"220","12260","Augusta-Richmond County, GA-SC","metro",594300,187081,TRUE,"large metros",7271,4785,0,0,122,599,6109,4080
"221","12420","Austin-Round Rock-Georgetown, TX","metro",2058351,836997,TRUE,"very large metros",36840,22243,450,241,3245,3498,28761,17751
"222","12540","Bakersfield, CA","metro",883053,189762,TRUE,"large metros",9612,5887,0,83,1741,1250,6175,3883
"223","12580","Baltimore-Columbia-Towson, MD","metro",2793250,1181547,TRUE,"very large metros",48412,32788,2770,1467,1040,6277,37831,26316
"224","12620","Bangor, ME","metro",151748,56958,FALSE,"small metros",2881,1807,0,0,0,58,2788,1759
"225","12700","Barnstable Town, MA","metro",213690,78050,FALSE,"small metros",6755,4271,60,49,0,258,6314,3992
"226","12940","Baton Rouge, LA","metro",852356,346458,TRUE,"large metros",12399,8109,516,274,332,882,10550,7124
"227","12980","Battle Creek, MI","metro",134473,53335,FALSE,"small metros",1606,1106,0,0,0,0,1503,1065
"228","14010","Bloomington, IL","metro",173219,71642,FALSE,"small metros",2679,1711,36,0,0,163,2416,1573
"229","14020","Bloomington, IN","metro",166281,53709,FALSE,"small metros",2308,1419,0,0,46,123,2078,1288
"230","14100","Bloomsburg-Berwick, PA","metro",84514,36923,FALSE,"small metros",1226,856,NA,NA,0,60,1162,818
"231","14260","Boise City, ID","metro",693952,254357,TRUE,"large metros",13772,7882,0,0,514,0,12473,7241
"232","14460","Boston-Cambridge-Newton, MA-NH","metro",4811732,2534539,TRUE,"very large metros",92859,65470,1434,987,2108,8078,80228,57945
"233","14500","Boulder, CO","metro",321030,153690,FALSE,"midsized metros",9992,6092,39,0,306,457,9010,5598
"234","14540","Bowling Green, KY","metro",172088,61626,FALSE,"small metros",2464,1548,39,20,0,117,2231,1385
"235","14740","Bremerton-Silverdale-Port Orchard, WA","metro",262475,59021,FALSE,"midsized metros",4749,2513,0,52,133,397,3983,2154
"236","14860","Bridgeport-Stamford-Norwalk, CT","metro",944348,429679,TRUE,"large metros",20175,14127,328,177,870,1738,16926,12266
"237","13020","Bay City, MI","metro",104786,29870,FALSE,"small metros",1561,1052,0,0,0,0,1475,982
"238","13140","Beaumont-Port Arthur, TX","metro",395636,132171,FALSE,"midsized metros",5152,3190,137,64,269,814,3852,2373
"239","13220","Beckley, WV","metro",120358,33038,FALSE,"small metros",1592,1103,0,0,0,57,1470,1036
"240","13380","Bellingham, WA","metro",216812,75103,FALSE,"small metros",5165,2807,0,0,154,368,4527,2535
"241","13460","Bend, OR","metro",180640,68342,FALSE,"small metros",6098,3281,0,0,170,201,5607,3032
"242","13740","Billings, MT","metro",177772,74052,FALSE,"small metros",4548,2653,0,0,72,59,4326,2549
"243","13780","Binghamton, NY","metro",243447,79415,FALSE,"small metros",3223,2299,0,0,26,239,2922,2135
"244","13820","Birmingham-Hoover, AL","metro",1082561,436077,TRUE,"very large metros",17248,11848,555,335,276,1055,15229,10726
"245","13900","Bismarck, ND","metro",126118,56813,FALSE,"small metros",2707,1644,0,0,0,0,2632,1604
"246","13980","Blacksburg-Christiansburg, VA","metro",166675,48889,FALSE,"small metros",2440,1657,0,0,41,0,2208,1528
"247","16020","Cape Girardeau, MO-IL","metro",97137,39925,FALSE,"small metros",1905,1242,0,0,0,0,1775,1131
"248","16060","Carbondale-Marion, IL","metro",138452,43560,FALSE,"small metros",1893,1373,0,0,0,0,1728,1283
"249","16180","Carson City, NV","metro",54467,20905,FALSE,"small metros",1392,929,0,0,101,70,1171,799
"250","16220","Casper, WY","metro",80610,31203,FALSE,"small metros",2091,1266,0,0,51,42,1936,1178
"251","16300","Cedar Rapids, IA","metro",268315,129218,FALSE,"midsized metros",4837,3233,0,0,62,110,4644,3100
"252","16540","Chambersburg-Waynesboro, PA","metro",153751,50967,FALSE,"small metros",1942,1350,0,NA,0,0,1773,1238
"253","16580","Champaign-Urbana, IL","metro",225875,71668,FALSE,"small metros",3334,2109,0,0,51,253,2977,1972
"254","16620","Charleston, WV","metro",267408,92295,FALSE,"midsized metros",3006,2200,35,23,26,154,2761,2041
"255","16700","Charleston-North Charleston, SC","metro",759247,286757,TRUE,"large metros",13500,8696,420,232,281,551,12070,7889
