cbsa_code,age_017,age_1834,age_35plus,female,male,total,race
13620,54,343,435,61,771,832,black
13620,15,45,154,159,55,214,asian
13620,136,226,270,110,522,632,latino
13660,7453,11622,21181,20071,20185,40256,white non-hispanic
13660,192,684,222,488,610,1098,black
13660,48,133,128,160,149,309,asian
13660,281,329,314,380,544,924,latino
13700,6767,7822,16963,13814,17738,31552,white non-hispanic
13700,500,528,1108,927,1209,2136,black
13700,50,9,229,142,146,288,asian
13700,4341,4343,6922,6460,9146,15606,latino
13720,11402,11156,32586,27847,27297,55144,white non-hispanic
13720,284,1182,945,418,1993,2411,black
13720,48,69,210,149,178,327,asian
13720,252,215,175,207,435,642,latino
13740,33236,32191,87482,77648,75261,152909,white non-hispanic
13740,354,355,458,445,722,1167,black
13740,202,317,470,717,272,989,asian
13740,3531,2232,2911,4207,4467,8674,latino
13780,40567,48123,127769,110081,106378,216459,white non-hispanic
13780,3580,3657,4340,5712,5865,11577,black
13780,1241,4663,2807,4345,4366,8711,asian
13780,3011,3042,2645,4283,4415,8698,latino
13820,159647,157637,438814,387286,368812,756098,white non-hispanic
13820,83098,81298,163244,176016,151624,327640,black
13820,3850,3821,7798,8278,7191,15469,asian
13820,19483,13841,16046,22687,26683,49370,latino
13900,24825,26752,63137,57417,57297,114714,white non-hispanic
13900,422,749,669,649,1191,1840,black
13900,199,218,326,455,288,743,asian
13900,988,1060,999,1314,1733,3047,latino
13940,11373,7553,18809,18789,18946,37735,white non-hispanic
13940,100,21,21,69,73,142,black
13940,128,115,184,243,184,427,asian
13940,3268,2083,2770,3889,4232,8121,latino
13980,26566,52733,82470,80243,81526,161769,white non-hispanic
13980,1209,3625,3621,4104,4351,8455,black
13980,957,4164,1753,3046,3828,6874,asian
13980,1093,2440,1217,2264,2486,4750,latino
14010,31811,46187,81057,81853,77202,159055,white non-hispanic
14010,4562,4940,4788,7239,7051,14290,black
14010,2084,3386,3319,4213,4576,8789,asian
14010,3013,3023,2594,4186,4444,8630,latino
14020,23593,53443,68335,73012,72359,145371,white non-hispanic
14020,950,2170,1541,2255,2406,4661,black
14020,811,6280,2130,4535,4686,9221,asian
14020,1329,2259,1455,2399,2644,5043,latino
14100,14485,19714,46416,41841,38774,80615,white non-hispanic
14100,313,815,421,761,788,1549,black
14100,315,427,601,696,647,1343,asian
14100,645,693,849,1077,1110,2187,latino
14140,18722,18511,58804,49695,46342,96037,white non-hispanic
14140,1240,1265,2521,2469,2557,5026,black
14140,39,246,330,401,214,615,asian
14140,288,418,331,577,460,1037,latino
14180,6142,5306,15074,13565,12957,26522,white non-hispanic
14180,4796,3891,6607,8160,7134,15294,black
14180,77,44,117,75,163,238,asian
14180,685,445,623,998,755,1753,latino
14220,6885,6104,18195,15803,15381,31184,white non-hispanic
14220,3757,3032,7204,7028,6965,13993,black
14220,0,18,88,33,73,106,asian
14220,337,303,329,508,461,969,latino
14260,153037,134711,320513,305443,302818,608261,white non-hispanic
14260,2392,1859,2333,2589,3995,6584,black
14260,3033,3401,6829,7496,5767,13263,asian
14260,34866,25844,29712,44318,46104,90422,latino
14300,6301,5726,17556,14402,15181,29583,white non-hispanic
14300,295,675,1219,641,1548,2189,black
14300,50,29,154,140,93,233,asian
14300,1165,1245,1170,1429,2151,3580,latino
14340,5566,4918,15009,12670,12823,25493,white non-hispanic
14340,48,60,0,52,56,108,black
14340,0,34,65,37,62,99,asian
14340,289,141,235,289,376,665,latino
14380,6262,20264,23623,25033,25116,50149,white non-hispanic
14380,29,470,333,367,465,832,black
14380,0,362,84,351,95,446,asian
14380,536,882,411,764,1065,1829,latino
14420,4696,3912,10513,9521,9600,19121,white non-hispanic
14420,146,121,200,208,259,467,black
14420,20,46,65,86,45,131,asian
14420,1834,1282,1771,2445,2442,4887,latino
14460,686031,857649,2130733,1891166,1783247,3674413,white non-hispanic
14460,95116,107982,181429,200678,183849,384527,black
14460,71328,117646,170731,188179,171526,359705,asian
14460,151751,158056,195670,253718,251759,505477,latino
