year,stco_code,frominstate_edu_baplus,frominstate_total,fromdiffstate_edu_baplus,fromdiffstate_total,fromabroad_edu_baplus,fromabroad_total,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus
2009,08037,681,1281,543,909,44,288,587,1197,0.0348837209302326,0.490392648287385
2009,08039,195,844,69,344,0,13,69,357,0.0231053006277911,0.19327731092437
2009,08041,1703,5262,7607,20286,1238,3614,8845,23900,0.0651787370051598,0.370083682008368
2009,08043,334,2083,335,1965,38,585,373,2550,0.0709891150023663,0.146274509803922
2009,08045,308,1186,401,1070,29,332,430,1402,0.0415345874685232,0.306704707560628
2009,08047,32,275,46,88,0,0,46,88,0.0228809152366095,0.522727272727273
2009,08049,63,265,49,182,75,112,124,294,0.0318561057536028,0.421768707482993
2009,08051,77,93,169,339,0,60,169,399,0.0457778797613584,0.423558897243108
2009,08053,0,0,0,0,0,0,0,0,0,NA
2009,08055,9,413,57,216,0,108,57,324,0.0551020408163265,0.175925925925926
2009,08057,3,9,0,47,0,0,0,47,0.0477157360406091,0
2009,08059,5055,17187,3924,9334,529,1174,4453,10508,0.0290631905895889,0.423772363913209
2009,08061,11,19,0,17,0,0,0,17,0.014026402640264,0
2009,08063,32,236,8,154,0,148,8,302,0.0557298394537738,0.0264900662251656
2009,08065,38,276,12,119,0,0,12,119,0.0229951690821256,0.100840336134454
2009,08067,79,483,770,1643,9,59,779,1702,0.0534312802159854,0.457696827262045
2009,08069,1618,4733,3458,7514,313,533,3771,8047,0.0456153279292557,0.468621846650926
2009,08071,46,364,56,425,0,4,56,429,0.0390106392652542,0.130536130536131
2009,08073,30,449,0,58,0,64,0,122,0.0316800830952999,0
2009,08075,173,961,74,522,2,51,76,573,0.0414107104141071,0.132635253054101
2009,08077,1115,2960,635,3185,84,232,719,3417,0.0370945329801555,0.210418495756512
2009,08079,4,40,0,6,0,0,0,6,0.00645855758880517,0
2009,08081,51,509,22,100,0,0,22,100,0.0113869278068777,0.22
2009,08083,129,391,139,536,0,0,139,536,0.0316579056169157,0.259328358208955
2009,08085,152,900,223,981,0,119,223,1100,0.0414906457453229,0.202727272727273
2009,08087,134,712,71,271,2,39,73,310,0.017855085819606,0.235483870967742
2009,08089,124,810,46,263,5,10,51,273,0.021864488226814,0.186813186813187
2009,08091,61,151,81,215,0,0,81,215,0.065052950075643,0.376744186046512
2009,08093,242,1109,94,538,19,19,113,557,0.0448398003542103,0.202872531418312
2009,08095,3,31,0,6,0,1,0,7,0.00240632519766243,0
2009,08097,23,259,383,476,110,171,493,647,0.0560027698433307,0.761978361669243
2009,08099,153,496,0,181,0,31,0,212,0.0255390916757017,0
