"","cbsa_name","cbsa_size","i5hgc_density","cbsa_code"
"399","Springfield, IL","Small",19,"44100"
"400","Springfield, MA","Medium",27.2,"44140"
"401","Springfield, MO","Medium",79.7,"44180"
"402","Springfield, OH","Small",29,"44220"
"403","Starkville, MS","Micro",104.9,"44260"
"404","State College, PA","Small",71.2,"44300"
"405","Staunton-Waynesboro, VA","Small",25.3,"44420"
"406","Steamboat Springs, CO","Micro",87.4,"44460"
"407","Stevens Point, WI","Micro",14.3,"44620"
"408","Stillwater, OK","Micro",78.3,"44660"
"409","Stockton-Lodi, CA","Medium",1.5,"44700"
"410","Summit Park, UT","Micro",372,"44920"
"411","Syracuse, NY","Medium",25.7,"45060"
"412","Tallahassee, FL","Medium",37.7,"45220"
"413","Tampa-St. Petersburg-Clearwater, FL","Large",136.9,"45300"
"414","Terre Haute, IN","Small",29,"45460"
"415","The Villages, FL","Small",60.8,"45540"
"416","Thomasville, GA","Micro",22.3,"45620"
"417","Toledo, OH","Medium",67.2,"45780"
"418","Topeka, KS","Small",8.5,"45820"
"419","Torrington, CT","Micro",31.7,"45860"
"420","Traverse City, MI","Micro",76.7,"45900"
"421","Trenton, NJ","Medium",158,"45940"
"422","Truckee-Grass Valley, CA","Micro",10.2,"46020"
"423","Tucson, AZ","Medium",40.8,"46060"
"424","Tulsa, OK","Medium",57.6,"46140"
"425","Tuscaloosa, AL","Small",4.5,"46220"
"426","Twin Falls, ID","Micro",29.6,"46300"
"427","Tyler, TX","Small",28.3,"46340"
"428","Urbana, OH","Micro",25.3,"46500"
"429","Urban Honolulu, HI","Medium",27.1,"46520"
"430","Utica-Rome, NY","Medium",13.4,"46540"
"431","Valdosta, GA","Small",7.3,"46660"
"432","Vallejo-Fairfield, CA","Medium",9.6,"46700"
"433","Vicksburg, MS","Micro",34,"46980"
"434","Victoria, TX","Small",31.6,"47020"
"435","Vineland-Bridgeton, NJ","Small",6.4,"47220"
"436","Virginia Beach-Norfolk-Newport News, VA-NC","Large",80.9,"47260"
"437","Visalia-Porterville, CA","Medium",15.5,"47300"
"438","Waco, TX","Small",4.1,"47380"
"439","Walla Walla, WA","Small",48.9,"47460"
"440","Warner Robins, GA","Small",27.4,"47580"
"441","Warren, PA","Micro",24.4,"47620"
