cbsa_code,cbsa_name,tracts,households,price,income,pi,pi_map,pi_10,pi_90,pi_10_90
28660,"Killeen-Temple, TX",76,138608,"$116,491","$49,886",2.36,Low,18%,0%,82%
28700,"Kingsport-Bristol-Bristol, TN-VA",75,128184,"$121,805","$41,867",2.96,Normal range,1%,0%,99%
28740,"Kingston, NY",47,69335,"$217,866","$59,878",3.75,Normal range,0%,2%,98%
28940,"Knoxville, TN",197,339458,"$157,970","$50,934",3.17,Normal range,1%,2%,98%
29020,"Kokomo, IN",20,34411,"$94,395","$47,482",2,Low,40%,0%,60%
29100,"La Crosse-Onalaska, WI-MN",29,52544,"$156,248","$55,498",3,Normal range,0%,3%,97%
29180,"Lafayette, LA",92,179139,"$129,501","$47,745",2.79,Normal range,13%,1%,86%
29200,"Lafayette-West Lafayette, IN",42,75281,"$128,557","$51,498",2.64,Normal range,21%,2%,76%
29340,"Lake Charles, LA",44,78923,"$121,900","$47,417",2.7,Normal range,16%,0%,84%
29420,"Lake Havasu City-Kingman, AZ",43,82145,"$133,421","$39,304",3.3,Normal range,7%,2%,91%
29460,"Lakeland-Winter Haven, FL",153,223048,"$107,168","$45,107",2.41,Normal range,20%,1%,80%
29540,"Lancaster, PA",98,196171,"$184,935","$59,194",3.17,Normal range,1%,1%,98%
29620,"Lansing-East Lansing, MI",117,177844,"$129,935","$54,040",2.44,Normal range,18%,0%,82%
29700,"Laredo, TX",60,71092,"$104,915","$37,553",2.97,Normal range,5%,0%,95%
29740,"Las Cruces, NM",39,74166,"$134,192","$38,845",3.46,Normal range,0%,0%,100%
29820,"Las Vegas-Henderson-Paradise, NV",465,706363,"$189,144","$57,061",3.28,Normal range,3%,1%,96%
29940,"Lawrence, KS",21,44046,"$188,562","$54,058",3.83,Normal range,0%,10%,90%
30020,"Lawton, OK",31,43796,"$106,352","$45,966",2.34,Low,26%,0%,74%
30140,"Lebanon, PA",31,52247,"$157,048","$56,354",2.77,Normal range,0%,0%,100%
30300,"Lewiston, ID-WA",16,25424,"$168,250","$49,124",3.5,Normal range,0%,0%,100%
30340,"Lewiston-Auburn, ME",27,43979,"$144,141","$48,573",3.23,Normal range,0%,4%,96%
30460,"Lexington-Fayette, KY",125,191480,"$184,745","$58,687",3.32,Normal range,2%,3%,95%
30620,"Lima, OH",33,40039,"$93,806","$44,257",2.11,Low,30%,0%,70%
30700,"Lincoln, NE",72,122324,"$164,921","$60,814",2.9,Normal range,3%,1%,96%
30780,"Little Rock-North Little Rock-Conway, AR",161,276975,"$139,426","$51,047",2.8,Normal range,6%,1%,93%
30860,"Logan, UT-ID",26,39754,"$191,508","$55,419",3.61,Normal range,0%,0%,100%
30980,"Longview, TX",44,77182,"$111,250","$47,256",2.39,Normal range,25%,0%,75%
31020,"Longview, WA",24,39671,"$163,350","$47,919",3.55,Normal range,8%,4%,88%
31080,"Los Angeles-Long Beach-Anaheim, CA",2671,4000000,"$531,387","$69,734",7.92,Very high,0%,66%,34%
31140,"Louisville/Jefferson County, KY-IN",298,488806,"$157,713","$55,743",2.83,Normal range,4%,1%,95%
31180,"Lubbock, TX",69,109013,"$114,925","$50,400",2.28,Low,36%,0%,64%
31340,"Lynchburg, VA",57,99136,"$158,163","$48,862",3.24,Normal range,2%,2%,96%
31420,"Macon, GA",59,84104,"$111,212","$39,863",2.94,Normal range,10%,3%,86%
31460,"Madera, CA",23,43574,"$199,922","$47,224",4.25,Normal range,0%,9%,91%
31540,"Madison, WI",123,250760,"$233,064","$67,469",3.58,Normal range,0%,4%,96%
31700,"Manchester-Nashua, NH",82,152665,"$238,184","$75,463",3.39,Normal range,2%,2%,95%
31740,"Manhattan, KS",16,33276,"$175,794","$50,483",3.96,Normal range,0%,19%,81%
31860,"Mankato-North Mankato, MN",23,37640,"$167,326","$55,724",3.13,Normal range,0%,0%,100%
31900,"Mansfield, OH",30,47935,"$91,247","$41,959",2.13,Low,27%,0%,73%
