"Appendix Table 1: Average price-income ratios in U.S. metro areas, 2012-16",,,,,,,,,,
Note: Figures include only tracts where at least 10% of homes are owner-occupied,,,,,,,,,,
Source: Brookings Institution analysis of 2012-16 American Community Survey data,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,% of tracts where the price-income ratio is…,,
CBSA,Metro Name,# Tracts,# Households,Average price,Average income,Average price-income rato,Map category,Under 10th percentile,Between 10th-90th percentile,Above the 90th percentile
26380,"Houma-Thibodaux, LA",44,"75,786",135809,50629,2.73,Normal range,0.07,0.93,0.00
26420,"Houston-The Woodlands-Sugar Land, TX",1014,"2,100,000",182571,65850,2.74,Normal range,0.26,0.72,0.03
26580,"Huntington-Ashland, WV-KY-OH",91,"141,832",103332,41968,2.54,Normal range,0.11,0.88,0.01
26620,"Huntsville, AL",88,"171,705",158039,57637,2.91,Normal range,0.02,0.97,0.01
26820,"Idaho Falls, ID",26,"46,349",157892,54216,2.94,Normal range,0.00,1.00,0.00
26900,"Indianapolis-Carmel-Anderson, IN",394,"745,060",134638,53867,2.55,Normal range,0.16,0.84,0.00
26980,"Iowa City, IA",27,"61,214",195456,59413,3.64,Normal range,0.04,0.89,0.07
27060,"Ithaca, NY",20,"35,436",218255,55961,4.1,Normal range,0.00,0.90,0.10
27100,"Jackson, MI",36,"60,217",108592,46926,2.31,Low,0.14,0.86,0.00
27140,"Jackson, MS",128,"209,135",122942,47414,2.61,Normal range,0.16,0.84,0.00
27180,"Jackson, TN",35,"48,636",112289,43205,2.69,Normal range,0.09,0.91,0.00
27260,"Jacksonville, FL",256,"527,943",177745,55588,3.11,Normal range,0.05,0.94,0.01
27340,"Jacksonville, NC",25,"58,001",156900,47212,3.36,Normal range,0.00,1.00,0.00
27500,"Janesville-Beloit, WI",38,"63,941",125758,50332,2.52,Normal range,0.08,0.92,0.00
27620,"Jefferson City, MO",31,"56,214",136497,52976,2.61,Normal range,0.03,0.97,0.00
27740,"Johnson City, TN",43,"83,809",128067,38956,3.35,Normal range,0.00,1.00,0.00
27780,"Johnstown, PA",41,"56,353",85268,43420,1.91,Very low,0.63,0.37,0.00
27860,"Jonesboro, AR",23,"46,875",106622,43728,2.56,Normal range,0.17,0.83,0.00
27900,"Joplin, MO",34,"67,754",109753,44325,2.5,Normal range,0.06,0.94,0.00
27980,"Kahului-Wailuku-Lahaina, HI",34,"53,903",535027,65535,8.47,Very high,0.00,0.24,0.76
28020,"Kalamazoo-Portage, MI",71,"129,329",128599,50114,2.61,Normal range,0.10,0.89,0.01
28100,"Kankakee, IL",29,"40,480",129862,52501,2.53,Normal range,0.03,0.97,0.00
28140,"Kansas City, MO-KS",510,"801,215",158681,61080,2.6,Normal range,0.18,0.82,0.01
28420,"Kennewick-Richland, WA",48,"93,567",187125,65727,2.94,Normal range,0.00,1.00,0.00
28660,"Killeen-Temple, TX",76,"138,608",116491,49886,2.36,Low,0.18,0.82,0.00
28700,"Kingsport-Bristol-Bristol, TN-VA",75,"128,184",121805,41867,2.96,Normal range,0.01,0.99,0.00
28740,"Kingston, NY",47,"69,335",217866,59878,3.75,Normal range,0.00,0.98,0.02
28940,"Knoxville, TN",197,"339,458",157970,50934,3.17,Normal range,0.01,0.98,0.02
29020,"Kokomo, IN",20,"34,411",94395,47482,2,Low,0.40,0.60,0.00
29100,"La Crosse-Onalaska, WI-MN",29,"52,544",156248,55498,3,Normal range,0.00,0.97,0.03
29180,"Lafayette, LA",92,"179,139",129501,47745,2.79,Normal range,0.13,0.86,0.01
29200,"Lafayette-West Lafayette, IN",42,"75,281",128557,51498,2.64,Normal range,0.21,0.76,0.02
29340,"Lake Charles, LA",44,"78,923",121900,47417,2.7,Normal range,0.16,0.84,0.00
29420,"Lake Havasu City-Kingman, AZ",43,"82,145",133421,39304,3.3,Normal range,0.07,0.91,0.02
29460,"Lakeland-Winter Haven, FL",153,"223,048",107168,45107,2.41,Normal range,0.20,0.80,0.01
